OTUID	A11	A12	A13	A21	A22	A23	AD11	AD12	AD13	AD21	AD22	AD23	CK11	CK12	CK13	CK21	CK22	CK23	DA11	DA12	DA13	DA21	DA22	DA23
NCBI100019	0	0	1	0	0	0	0	2	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0
NCBI100234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0
NCBI1003110	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	4	0	0
NCBI1003177	0	0	0	0	0	0	0	2	0	0	1	2	0	0	1	0	0	0	0	0	0	1	1	0
NCBI1004901	0	4	0	7	35	34	0	0	0	33	9	18	0	15	13	6	2	21	5	0	7	2	19	10
NCBI1006	18	7	21	15	16	7	11	23	29	10	11	11	27	22	24	10	6	5	15	23	21	7	2	7
NCBI1006155	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
NCBI1007084	0	0	0	0	0	8	17	0	0	0	350	0	0	0	0	2	0	2	0	0	0	18	11	2
NCBI1007105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	8
NCBI100716	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1008	0	2	0	2	0	0	2	0	30	3	0	1	2	3	0	8	5	7	0	0	3	16	6	6
NCBI1009682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI1010	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	7
NCBI101028	0	5	6	38	24	7	10	6	6	27	13	21	3	5	9	312	141	124	8	2	2	11	4	5
NCBI101162	0	1	0	0	0	0	0	0	1	2	3	1	0	1	0	0	4	0	0	1	0	0	1	0
NCBI101192	0	4	4	53	13	23	1	1	0	24	27	22	1	1	4	4	4	5	4	7	1	16	27	63
NCBI101201	0	0	0	0	43	0	6	0	10	26	0	73	0	4	9	0	0	11	6	0	9	0	38	0
NCBI101385	937	1030	1229	3870	1701	281	861	1270	1354	1249	490	1418	1203	1830	1373	407	194	670	2049	1272	2009	105	113	448
NCBI1014	0	0	0	0	0	0	0	1	1	0	11	0	0	0	0	14	0	0	0	0	2	0	0	0
NCBI101564	0	0	0	0	0	0	99	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0
NCBI101571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	18	0
NCBI1016987	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	8	0
NCBI1017	0	0	0	2	9	0	5	0	4	11	5	2	0	0	0	34	20	28	3	0	3	0	8	6
NCBI101852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
NCBI1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6
NCBI102116	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0
NCBI102134	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NCBI10243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBI10245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	1	0
NCBI10258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
NCBI102684	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0
NCBI1027273	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NCBI1027373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13391	2768	12012	0	0	0	9287	0	6086
NCBI102862	0	0	0	16	0	9	0	0	0	77	615	48	0	0	0	0	0	0	0	0	9	4	0	5
NCBI1028752	4	0	0	20	6	0	0	0	7	0	10	17	0	0	14	0	6	0	14	35	5	7	7	4
NCBI1030157	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0
NCBI1031538	0	0	0	4	0	4	0	0	1	1	5	1	2	6	0	3	0	0	0	0	1	3	4	0
NCBI1031540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0
