name	AD11	AD12	AD13	AD21	AD22	AD23
Candidatus_Prometheoarchaeum	7.91E-06	7.78E-06	5.80E-06	6.74E-06	8.18E-06	2.19E-06
Candidatus_Thalassarchaeum	0	0	0	0	3.03E-07	1.68E-07
Acidianus	0	0	0	2.50E-07	0	0
Saccharolobus	0	0	0	0	0	0
Thermocladium	0	0	0	0	0	3.37E-07
Archaeoglobus	0	0	0	0	0	0
Haloarcula	0	0	0	0	0	0
Halomicroarcula	0	0	0	0	0	0
Halomicrobium	0	0	0	0	0	1.68E-07
Halorhabdus	0	0	0	0	3.03E-07	0
Halosiccatus	0	0	0	0	0	0
Halosimplex	0	0	0	7.49E-07	0	0
Natronomonas	0	0	0	0	0	0
Haladaptatus	0	0	0	0	0	0
Haloarchaeobius	0	0	0	0	0	0
Halobacterium	0	0	0	0	0	0
Halocalculus	0	0	0	0	0	0
Halomarina	0	0	0	0	0	1.68E-07
Halorussus	2.41E-06	0	3.22E-07	7.49E-07	9.09E-07	6.74E-07
Halostella	0	0	0	0	0	0
Salinirubrum	0	0	0	0	0	0
Halococcus	6.88E-07	9.72E-07	3.22E-07	0	9.09E-07	0
Halobellus	0	0	0	0	0	0
Haloferax	0	0	0	0	0	0
Halogranum	0	0	6.45E-07	0	0	0
Haloplanus	0	0	0	0	0	0
Haloprofundus	0	9.72E-07	0	0	0	0
Candidatus_Halobonum	0	0	0	0	0	0
Halobaculum	0	0	0	0	0	0
Halohasta	0	0	0	9.99E-07	0	0
Halonotius	3.78E-06	0	1.93E-06	0	0	0
Halopenitus	0	0	0	0	0	0
Halorubrum	0	0	0	0	0	0
Halobiforma	0	1.30E-06	0	0	6.06E-07	0
Halopiger	0	0	0	0	0	0
Halostagnicola	0	0	0	0	0	0
Haloterrigena	0	0	0	1.50E-06	0	0
Natrarchaeobius	0	0	0	0	0	0
Natrialba	0	0	0	0	0	0
Natrinema	1.03E-06	0	0	0	6.06E-07	0
Natronococcus	0	0	0	0	0	0
Natronorubrum	0	0	0	0	0	1.68E-07
Methanobacterium	6.88E-06	2.20E-05	2.26E-06	9.99E-06	7.88E-06	7.58E-06
Methanobrevibacter	3.30E-05	3.24E-07	1.93E-06	1.82E-05	1.09E-05	7.24E-06
Methanosphaera	6.88E-07	0	0	5.74E-06	0	2.53E-06
Methanocella	0	0	0	0	0	0
Methanoculleus	0	2.85E-05	1.84E-05	2.77E-05	1.36E-05	1.53E-05
Methanofollis	0	6.48E-07	3.22E-07	2.50E-07	3.03E-07	0
Methanogenium	0	6.48E-07	0	4.99E-07	0	5.05E-07
Methanomicrobium	0	0	0	0	0	0
Methanolinea	0	0	0	0	0	0
Methanoregula	0	0	0	0	0	0
Methanosphaerula	0	0	0	4.99E-07	0	0
Methanospirillum	4.47E-06	1.62E-06	0	0	0	0
Candidatus_Methanoperedens	0	1.62E-06	0	0	9.09E-07	0
Methanimicrococcus	0	0	0	0	0	0
Methanococcoides	1.03E-06	3.24E-06	3.87E-06	5.99E-06	8.48E-06	1.85E-06
Methanolobus	0	0	0	0	3.03E-07	3.37E-07
Methanomethylovorans	3.44E-07	3.24E-07	0	5.99E-06	8.18E-06	3.70E-06
Methanosarcina	5.16E-06	1.39E-05	8.38E-06	7.09E-05	0.000180595	3.67E-05
Methermicoccus	0	0	0	0	0	0
Methanothrix	1.38E-05	7.13E-05	1.29E-05	6.24E-06	1.30E-05	2.02E-06
Pyrococcus	0	0	0	0	0	0
Thermococcus	0	0	0	0	0	0
Candidatus_Nitrosocosmicus	1.72E-06	0	0	2.50E-07	3.03E-07	0
Cenarchaeum	0	0	0	0	0	0
Candidatus_Nitrosomarinus	0	0	0	0	0	0
Nitrosarchaeum	5.84E-06	8.10E-06	3.87E-06	0	0.000111206	5.05E-07
Nitrosopumilus	0.000621277	0.000360265	0.000579833	0.001870995	0.002415616	0.000883696
Candidatus_Nitrosotenuis	0	0	0	0	0	0
Granulicella	0	0	0	0	0	0
Paludibaculum	0	0	0	0	0	0
Chloracidobacterium	0	3.24E-07	0	0	0	0
Sulfidibacter	0	0	3.22E-07	7.49E-07	6.06E-07	3.37E-07
Geothrix	0	0	0	0	0	0
Luteitalea	4.47E-06	2.27E-06	1.93E-06	0	9.09E-07	0
Acidimicrobium	0	0	0	0	0	0
Actinomarinicola	4.06E-05	2.59E-05	2.97E-05	2.62E-05	1.97E-05	6.57E-06
Aquihabitans	2.75E-06	5.51E-06	7.09E-06	1.25E-06	1.36E-05	0
Iamia	1.75E-05	2.98E-05	5.80E-06	8.24E-06	6.06E-06	4.04E-06
Ilumatobacter	0.001084398	0.00098263	0.00068265	0.00094099	0.000542696	0.000278007
Actinomyces	4.26E-05	2.59E-06	0	8.74E-06	4.85E-06	1.18E-06
Arcanobacterium	0	0	0	0	0	1.52E-06
Changpingibacter	1.38E-05	2.46E-05	0	1.35E-05	9.09E-06	2.86E-06
Flaviflexus	0	2.01E-05	0	7.49E-07	7.27E-06	8.42E-07
Mobiluncus	0	0	0	0	0	0
Pauljensenia	0	0	7.16E-05	0	0	0
Schaalia	8.25E-06	3.30E-05	2.90E-06	2.55E-05	1.70E-05	5.89E-06
Trueperella	0	0	0	0	0	0
Bifidobacterium	6.67E-05	0.000133156	8.35E-05	9.99E-05	3.42E-05	4.06E-05
Gardnerella	0	0	0	0	0	0
Candidatus_Actinomarina	0	3.24E-07	0	4.99E-07	0	1.68E-07
Candidatus_Nanopelagicus	0	0	0	0	0	0
Candidatus_Planktophila	0	0	0.000182104	0	0	0
Catenulispora	0	0	0	2.50E-07	0	0
Corynebacterium	0.00890948	0.0196206	9.14E-03	2.16E-02	4.82E-02	4.82E-02
Dietzia	0.000114835	0.000158102	0.000323275	1.67E-05	1.70E-05	5.73E-06
Gordonia	0.002315606	1.85E-05	0	3.05E-05	3.27E-05	1.57E-05
Skermania	3.44E-07	0	0	7.49E-07	0	0
Lawsonella	0	0	0	0	0	0
Hoyosella	1.72E-06	6.48E-07	6.45E-07	0	0	0
Mycobacterium	3.18E-02	4.77E-02	4.40E-02	2.25E-04	1.02E-04	7.53E-05
Mycobacteroides	0	5.70E-05	0	1.87E-05	0	0
Mycolicibacter	0	0	1.29E-06	3.42E-05	2.12E-05	3.03E-06
Mycolicibacterium	0.000226231	0.000206699	4.90E-05	0.000148301	0.000145446	4.51E-05
Nocardia	0	1.94E-06	1.48E-05	3.99E-06	1.82E-06	0
Rhodococcus	5.50E-05	4.47E-05	9.38E-05	6.37E-05	6.85E-05	4.09E-05
Tsukamurella	4.81E-06	1.10E-05	0	2.25E-06	1.82E-06	1.01E-06
Tomitella	1.03E-06	0	0	9.99E-07	0	0
Frankia	8.25E-06	0	0	0	0	0
Blastococcus	7.39E-05	0.000117281	3.74E-05	4.24E-06	2.42E-06	0
Geodermatophilus	3.23E-05	5.80E-05	2.80E-05	9.99E-07	2.73E-06	2.69E-06
Modestobacter	2.61E-05	2.53E-05	7.41E-06	4.99E-06	0	0
Glycomyces	0	0	0	0	0	0
Stackebrandtia	0	0	0	0	0	0
Jiangella	0	0	4.19E-06	0	0	0
Kineococcus	3.44E-06	0	0	0	0	0
Miniimonas	0	5.57E-05	0	9.99E-06	6.97E-06	6.06E-06
Georgenia	0	0	0	0	0	0
Brevibacterium	0.000358945	9.75E-05	0.000143105	7.09E-05	4.85E-06	8.76E-06
Actinotalea	0	0	0	0	0	0
Cellulomonas	0	1.98E-05	1.13E-05	6.24E-06	4.55E-06	2.86E-06
Oerskovia	0	0	0	0	0	3.37E-07
Pseudactinotalea	0	1.30E-06	1.29E-06	0	0	0
Brachybacterium	0	1.62E-06	0	1.25E-06	3.03E-07	0
Dermabacter	0	0	0	0	0	0
Dermacoccus	2.51E-05	0	4.19E-06	2.15E-05	6.36E-06	1.68E-06
Yimella	0	0	0	0	0	0
Austwickia	4.81E-06	2.53E-05	1.48E-05	3.00E-05	1.21E-05	5.89E-06
Gephyromycinifex	0	0	0	0	0	0
Arsenicicoccus	0	0	0	2.50E-06	3.33E-06	0
Intrasporangium	0	0	0	7.49E-07	0	0
Janibacter	1.51E-05	6.22E-05	2.29E-05	9.99E-06	6.67E-06	1.01E-06
Pedococcus	0	8.42E-06	0	0	0	0
Phycicoccus	1.89E-04	4.96E-05	2.96E-05	1.53E-05	1.55E-05	7.75E-06
Terrabacter	0.001511075	0	0	0	0	0
Tetrasphaera	0	0	7.09E-06	0	0	0
Jonesia	0	0	0	0	0	0
Kytococcus	0	0	0	0	0	0
Agrococcus	6.88E-06	2.40E-05	0	0	1.82E-06	0
Agromyces	1.72E-06	0	0	9.99E-07	0	0
Chryseoglobus	0	0	0	0	0	0
Clavibacter	0	0	0	0	0	0
Cryobacterium	1.75E-05	0	0	0	1.82E-06	3.03E-06
Curtobacterium	0	3.24E-06	0	0	0	0
Frondihabitans	0	0	0	0	0	0
Glaciihabitans	0	0	6.45E-07	0	0	0
Herbiconiux	0	0	0	0	0	0
Humibacter	4.13E-06	0	0	0	0	0
Leifsonia	0	0	0	0	0	0
Leucobacter	0	1.62E-05	0	2.00E-05	1.94E-05	5.05E-06
Marisediminicola	0	1.30E-06	0	0	0	0
Microbacterium	2.17E-05	0.000104969	0.000213368	0.000252162	0.0001006	7.64E-05
Microcella	1.38E-05	0	0	7.49E-07	1.52E-06	0
Microterricola	0	0	0	0	9.09E-07	0
Mycetocola	0	0	0	0	0	0
Protaetiibacter	0	0	4.51E-06	0	0	6.74E-07
Pseudoclavibacter	0	6.71E-05	0	4.24E-06	0	0
Rathayibacter	0	0	0	0	0	0
Salinibacterium	0.0001279	0.000171061	3.06E-05	2.75E-06	2.42E-06	1.68E-06
Arthrobacter	8.01E-05	0.000159398	7.61E-05	2.15E-05	1.91E-05	8.76E-06
Auritidibacter	0	3.24E-06	0	0	0	0
Citricoccus	0	0	0	4.99E-07	0	0
Glutamicibacter	0.000169502	0.000448064	0.000430927	0.000137067	0.000111812	0.000121576
Kocuria	0.000102801	0.000295469	0.000219814	0.000361017	0.000116963	6.16E-05
Micrococcus	1.71E-04	0.000044712	0.00002668	1.38E-05	1.39E-05	6.99E-06
Neomicrococcus	0	0	0	0	0	0
Paenarthrobacter	4.74E-05	2.56E-05	2.48E-05	2.32E-05	0	0
Paeniglutamicibacter	0	0	0	0	0	0
Pseudarthrobacter	5.84E-06	1.78E-05	1.61E-06	1.30E-05	0	2.69E-06
Psychromicrobium	0	0	0	0	0	0
Rothia	1.68E-05	0	0	4.24E-06	1.42E-05	3.54E-06
Sinomonas	0	0	0	0	0	0
Zhihengliuella	0	0	0	0	0	0
Ornithinimicrobium	1.97E-04	5.15E-05	3.07E-05	1.59E-05	1.61E-05	0.000008056
Serinicoccus	3.78E-06	0	0	3.00E-06	3.03E-06	1.01E-06
Cellulosimicrobium	0	0	1.61E-05	0	0	0
Isoptericola	0	0	0	0	0	0
Xylanimonas	0	3.56E-06	0	0	0	0
Ruania	1.38E-06	0	0	0	0	0
Pengzhenrongella	1.97E-04	5.16E-05	3.08E-05	1.59E-05	1.61E-05	8.07E-06
Actinocatenispora	0	1.94E-06	0	1.75E-06	0	0
Actinoplanes	2.75E-06	0	0	0	0	3.37E-07
Catellatospora	0	0	0	0	0	1.68E-07
