name	A11	A12	A13	CK21	CK22	CK23
Candidatus_Prometheoarchaeum	1.03E-03	1.20E-03	3.22E-03	1.23E-04	8.81E-05	1.37E-04
Candidatus_Thalassarchaeum	0	0	2.73E-07	0	3.42E-06	2.21E-06
Acidianus	0	0	0	0	0	0
Saccharolobus	0	0	0	0	0	7.35E-07
Haloarcula	0	0	0	6.89E-07	0	7.35E-07
Halosiccatus	0	6.66E-07	0	6.89E-07	0	0
Halosimplex	0	0	0	0	6.84E-07	0
Natronomonas	0	0	0	0	0	0
Haladaptatus	0	1.33E-06	0	0	0	7.35E-07
Haloarchaeobius	0	0	0	0	0	7.35E-07
Halobacterium	0	0	0	0	6.84E-07	0
Halocalculus	0	0	0	0	0	0
Halomarina	0	0	0	0	0	0
Halorussus	0	2.67E-06	0	1.38E-06	6.84E-07	2.94E-06
Halostella	0	0	0	0	0	0
Salinirubrum	0	0	0	1.38E-06	0	0
Halococcus	0	3.33E-07	5.46E-07	6.89E-07	0	7.35E-07
Halobellus	0	0	0	0	0	0
Haloferax	0	0	0	0	6.84E-07	0
Halogranum	0	0	0	6.89E-07	0	7.35E-07
Haloplanus	0	0	0	0	0	0
Haloprofundus	0	0	8.18E-07	0	1.37E-06	0
Candidatus_Halobonum	0	0	0	0	0	0
Halobaculum	8.78E-07	0	0	0	0	0
Halohasta	0	0	0	0	0	0
Halonotius	0	0	0	0	1.37E-06	2.21E-06
Halopenitus	0	0	0	0	0	0
Halorubrum	0	0	0	4.14E-06	1.37E-06	0
Halobiforma	0	0	8.18E-07	0	6.84E-07	2.21E-06
Halopiger	0	0	0	0	0	1.47E-06
Halostagnicola	0	0	0	0	0	0
Haloterrigena	0	0	2.73E-07	0	0	0
Natrarchaeobius	0	0	0	0	0	0
Natrialba	0	0	0	1.38E-06	6.84E-07	0
Natrinema	0	0	0	0	0	7.35E-07
Natronococcus	0	0	0	0	6.84E-07	0
Natronorubrum	0	0	0	0	0	0
Methanobacterium	0	4.00E-06	2.18E-06	8.96E-06	8.89E-06	1.47E-05
Methanobrevibacter	0	0	0	1.17E-05	1.50E-05	1.40E-05
Methanosphaera	0	0	0	0	0	0
Methanocella	0	0	0	0	0	0
Methanoculleus	1.20E-05	3.00E-06	5.78E-05	1.17E-05	1.50E-05	2.94E-05
Methanofollis	0	0	0	0	0	7.35E-07
Methanogenium	2.93E-07	3.33E-07	0	0	3.42E-06	2.21E-06
Methanosphaerula	0	0	2.73E-07	0	6.84E-07	0
Methanospirillum	2.93E-07	1.33E-06	8.18E-07	6.89E-07	0	7.35E-07
Candidatus_Methanoperedens	0	1.00E-06	0	0	6.84E-07	0
Methanimicrococcus	0	0	0	0	0	7.35E-07
Methanococcoides	8.78E-07	0	8.18E-07	1.17E-05	4.79E-06	1.18E-05
Methanolobus	0	0	0	0	6.84E-07	0
Methanomethylovorans	0	1.33E-06	1.09E-06	2.76E-06	2.73E-06	3.68E-06
Methanosarcina	1.14E-05	1.17E-05	4.64E-06	3.45E-05	2.19E-05	3.23E-05
Methermicoccus	0	0	0	0	0	7.35E-07
Methanothrix	1.58E-04	1.06E-04	1.49E-04	2.82E-05	3.06E-05	2.55E-05
Pyrococcus	0	0	0	0	0	0
Thermococcus	0	0	0	6.89E-07	1.37E-06	7.35E-07
Candidatus_Nitrosocosmicus	0	0	1.36E-06	2.07E-06	0	2.21E-06
Cenarchaeum	0	0	0	0	0	7.35E-07
Candidatus_Nitrosomarinus	0	0	0	6.89E-06	6.15E-06	0
Nitrosarchaeum	0	1.33E-06	1.36E-06	8.27E-06	9.57E-06	1.10E-05
Nitrosopumilus	0.000496307	0.000571439	0.000524772	0.09206421	0.051849836	0.092568374
Candidatus_Nitrosotenuis	0	0	0	0	0	0
Granulicella	0	0	0	4.14E-06	0	0
Paludibaculum	0	0	0	0	6.84E-07	0
Chloracidobacterium	8.78E-07	0	0	0	6.84E-07	1.47E-06
Sulfidibacter	2.93E-07	0	0	1.38E-06	1.37E-06	7.35E-07
Geothrix	0	0	0	0.000191642	0	0
Luteitalea	2.64E-06	2.67E-06	2.45E-06	0	1.37E-06	0
Acidimicrobium	0	3.33E-07	0	0	0	0
Actinomarinicola	2.81E-05	2.37E-05	4.04E-05	0.000144077	0.000198962	0.000218337
Aquihabitans	6.44E-06	1.03E-05	0	2.69E-05	0	2.28E-05
Iamia	5.86E-06	5.00E-06	1.53E-05	8.55E-05	0.000103925	0.000188932
Ilumatobacter	0.000656473	0.000543784	0.000798068	0.000350196	0.001087797	0.000841738
Actinomyces	2.05E-06	1.30E-05	4.91E-06	2.34E-05	1.71E-05	3.82E-05
Arcanobacterium	0	0	0	0	0	0
Changpingibacter	0	1.57E-05	5.54E-05	0	2.60E-05	0
Flaviflexus	0	0	0	1.72E-05	6.15E-06	4.41E-06
Mobiluncus	0	0	3.27E-06	0	0	3.68E-06
Pauljensenia	0	0	0	0	0	1.25E-05
Schaalia	9.96E-06	2.80E-05	1.69E-05	2.48E-05	2.19E-05	1.32E-05
Trueperella	0	0	0	0	0	0
Bifidobacterium	2.55E-05	0.00012595	8.35E-05	0.001766833	0.000249557	0.000968917
Gardnerella	0	0	0	0	0	4.41E-06
Candidatus_Actinomarina	2.93E-07	0	0	0	6.84E-07	0
Candidatus_Nanopelagicus	0	0	0	0	2.05E-06	0
Candidatus_Planktophila	0	0	0	0	0	0
Catenulispora	0	0	0	4.83E-06	3.42E-06	8.09E-06
Corynebacterium	2.69E-05	1.57E-05	1.64E-06	0.000448774	0.00037878	0.000443291
Dietzia	7.41E-05	2.33E-05	0.000102009	0.00023783	0.000536036	0.000241127
Gordonia	0.000173927	6.06E-05	2.65E-05	0.000163379	0.000166827	0.000105125
Skermania	0	0	0	6.89E-07	1.37E-06	0
Lawsonella	0	0	0	0	0	0
Hoyosella	0	0	0	3.45E-06	0	0.000668244
Mycobacterium	3.25E-05	7.00E-06	5.97E-05	0.000117191	8.41E-05	8.90E-05
Mycobacteroides	0.0001465	1.25E-04	3.83E-04	2.14E-03	0.002598125	0.0047233
Mycolicibacter	0	0	1.36E-06	1.31E-05	2.32E-05	3.46E-05
Mycolicibacterium	0.000811367	0.00089631	0.000900622	0.002532714	0.000419804	0.000383009
Nocardia	0	2.37E-05	4.64E-05	1.17E-05	7.52E-06	2.79E-05
Rhodococcus	6.41E-05	8.96E-05	0.000200472	0.00047497	0.000791063	0.000491075
Tsukamurella	0	0	0	1.59E-05	0	1.76E-05
Tomitella	0	0	0	0	0	0
Frankia	0	1.33E-06	0	0	0	0
Blastococcus	5.68E-05	5.03E-05	8.40E-05	1.10E-05	2.67E-05	8.09E-06
Geodermatophilus	1.73E-05	2.20E-05	2.37E-05	5.51E-06	0	4.41E-06
Modestobacter	1.35E-05	1.27E-05	4.20E-05	0	0	1.47E-05
Miniimonas	0	1.23E-05	1.45E-05	2.69E-05	3.90E-05	0
Georgenia	0	0	4.09E-06	0	0	0
Brevibacterium	0.000101311	0.000144609	4.34E-05	1.79E-05	3.15E-05	5.95E-05
Actinotalea	0	0	3.27E-06	0	0	0
Cellulomonas	0	0	0	0	0	6.62E-06
Oerskovia	0	8.00E-06	0	0	0	0
Pseudactinotalea	0	0	0	6.89E-07	0	0
Brachybacterium	2.93E-06	0	5.46E-06	2.76E-06	0	0
Dermabacter	4.42E-05	0	0	4.48E-05	0	0
Dermacoccus	0	2.13E-05	8.18E-06	0	5.47E-06	0
Yimella	1.46E-06	1.33E-06	0	0	0	0
Austwickia	0	9.66E-06	1.39E-05	1.79E-05	2.87E-05	2.21E-05
