name	CK11	CK12	CK13	A21	A22	A23
Candidatus_Prometheoarchaeum	2.60E-05	8.66E-06	1.21E-05	2.75E-06	1.27E-06	2.69E-06
Candidatus_Thalassarchaeum	4.91E-07	5.09E-07	5.05E-07	0	0	0
Acidianus	0	0	0	0	0	0
Saccharolobus	0	0	0	0	0	0
Thermocladium	0	0	0	0	0	0
Archaeoglobus	0	0	0	0	0	0
Haloarcula	0	0	0	0	0	0
Halomicroarcula	0	0	0	0	0	7.17E-06
Halomicrobium	0	0	0	0	0	0
Halorhabdus	0	0	0	0	0	0
Halosiccatus	0	0	0	0	0	0
Halosimplex	0	0	0	0	0	0
Natronomonas	0	0	0	0	0	0
Haladaptatus	0	0	0	0	2.11E-06	0
Haloarchaeobius	0	0	0	0	0	0
Halobacterium	0	0	0	0	0	4.48E-07
Halocalculus	0	0	0	1.37E-06	0	0
Halomarina	0	0	0	0	0	0
Halorussus	9.82E-07	0	2.02E-06	1.37E-06	0	0
Halostella	0	0	0	0	0	0
Salinirubrum	0	0	0	0	0	0
Halococcus	0	0	5.05E-07	3.43E-07	1.69E-06	4.48E-07
Halobellus	0	0	0	0	0	0
Haloferax	0	0	0	0	0	0
Halogranum	0	0	0	0	2.11E-06	0
Haloplanus	0	0	0	0	0	0
Haloprofundus	0	0	0	0	0	0
Candidatus_Halobonum	0	0	0	0	0	4.48E-07
Halobaculum	0	0	0	0	0	0
Halohasta	0	0	0	0	0	0
Halonotius	2.45E-06	5.09E-06	0	0	0	0
Halopenitus	0	0	0	0	0	2.24E-06
Halorubrum	0	0	2.53E-06	0	0	0
Halobiforma	0	0	2.53E-06	0	0	0
Halopiger	0	5.09E-07	0	0	0	0
Halostagnicola	4.91E-07	0	0	0	0	0
Haloterrigena	0	4.08E-06	0	6.86E-07	0	2.24E-06
Natrarchaeobius	0	5.09E-07	0	0	0	0
Natrialba	0	0	0	0	0	1.34E-06
Natrinema	4.91E-07	0	0	0	0	0
Natronococcus	0	0	0	0	0	0
Natronorubrum	0	0	0	0	0	0
Methanobacterium	3.34E-05	4.58E-06	7.02E-05	1.37E-05	3.17E-05	3.81E-05
Methanobrevibacter	3.93E-06	7.13E-06	2.02E-06	7.55E-06	1.56E-05	1.75E-05
Methanosphaera	4.91E-07	1.53E-06	0	5.49E-06	4.65E-06	9.86E-06
Methanocella	4.91E-07	0	0	0	0	0
Methanoculleus	4.42E-06	1.53E-05	1.01E-05	3.16E-05	6.17E-05	0.000103048
Methanofollis	0	5.09E-07	0	0	1.69E-06	0
Methanogenium	0	0	0	0	1.27E-06	0
Methanomicrobium	0	0	0	0	0	0
Methanolinea	0	0	0	1.03E-06	0	0
Methanoregula	0	0	0	0	0	0
Methanosphaerula	0	0	0	3.43E-07	0	4.48E-07
Methanospirillum	0	6.11E-06	1.21E-05	0	0	0
Candidatus_Methanoperedens	0	0	5.05E-07	0	4.22E-07	0
Methanimicrococcus	0	0	0	0	0	0
Methanococcoides	4.42E-06	4.08E-06	1.21E-05	6.86E-07	1.69E-06	2.24E-06
Methanolobus	1.96E-06	0	0	0	0	0
Methanomethylovorans	4.91E-07	5.09E-07	2.02E-06	1.82E-05	5.49E-06	1.03E-05
Methanosarcina	2.55E-05	6.52E-05	2.27E-05	0.000160275	0.000139365	0.000134859
Methermicoccus	0	0	0	0	0	0
