name	kingdom	phylum	class	order	family
Candidatus_Thalassarchaeaceae	k__Archaea	p__Candidatus_Thermoplasmatota	c__Candidatus_Poseidoniia	o__Candidatus_Poseidoniales	f__Candidatus_Thalassarchaeaceae
Methanomassiliicoccaceae	k__Archaea	p__Candidatus_Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomassiliicoccaceae
Sulfolobaceae	k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Sulfolobales	f__Sulfolobaceae
Thermoproteaceae	k__Archaea	p__Crenarchaeota	c__Thermoprotei	o__Thermoproteales	f__Thermoproteaceae
Archaeoglobaceae	k__Archaea	p__Euryarchaeota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae
Haloarculaceae	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae
Halobacteriaceae	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae
Halococcaceae	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halococcaceae
Haloferacaceae	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae
Halorubraceae	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae
Natrialbaceae	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae
Methanobacteriaceae	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae
Methanocellaceae	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanocellales	f__Methanocellaceae
Methanomicrobiaceae	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiaceae
Methanoregulaceae	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae
Methanospirillaceae	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanospirillaceae
Candidatus_Methanoperedenaceae	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Candidatus_Methanoperedenaceae
Methanosarcinaceae	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosarcinaceae
Methermicoccaceae	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methermicoccaceae
Methanotrichaceae	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanotrichales	f__Methanotrichaceae
Thermococcaceae	k__Archaea	p__Euryarchaeota	c__Thermococci	o__Thermococcales	f__Thermococcaceae
Nitrososphaeraceae	k__Archaea	p__Thaumarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae
Cenarchaeaceae	k__Archaea	p__Thaumarchaeota	unclassified	o__Cenarchaeales	f__Cenarchaeaceae
Nitrosopumilaceae	k__Archaea	p__Thaumarchaeota	unclassified	o__Nitrosopumilales	f__Nitrosopumilaceae
Acidobacteriaceae	k__Bacteria	p__Acidobacteria	c__Acidobacteriia	o__Acidobacteriales	f__Acidobacteriaceae
