name	AD11	AD12	AD13	AD21	AD22	AD23
Candidatus_Thalassarchaeaceae	0	0	0	0	3.03E-07	1.68E-07
Methanomassiliicoccaceae	0	0	0	0	0	0
Sulfolobaceae	0	0	0	2.50E-07	0	0
Thermoproteaceae	0	0	0	0	0	3.37E-07
Archaeoglobaceae	0	0	0	0	0	0
Haloarculaceae	0	0	0	7.49E-07	3.03E-07	1.68E-07
Halobacteriaceae	2.41E-06	0	3.22E-07	7.49E-07	9.09E-07	8.42E-07
Halococcaceae	6.88E-07	9.72E-07	3.22E-07	0	9.09E-07	0
Haloferacaceae	0	9.72E-07	6.45E-07	0	0	0
Halorubraceae	3.78E-06	0	1.93E-06	9.99E-07	0	0
Natrialbaceae	1.03E-06	1.30E-06	0	1.50E-06	1.21E-06	1.68E-07
Methanobacteriaceae	4.06E-05	2.24E-05	4.19E-06	3.40E-05	1.88E-05	1.73E-05
Methanocellaceae	0	0	0	0	0	0
Methanomicrobiaceae	0	2.98E-05	1.87E-05	2.85E-05	1.39E-05	1.58E-05
Methanoregulaceae	0	0	0	4.99E-07	0	0
Methanospirillaceae	4.47E-06	1.62E-06	0	0	0	0
Candidatus_Methanoperedenaceae	0	1.62E-06	0	0	9.09E-07	0
Methanosarcinaceae	4.23E-04	4.66E-04	4.75E-04	3.77E-04	0.000373361	3.64E-04
Methermicoccaceae	0	0	0	0	0	0
Methanotrichaceae	1.38E-05	7.13E-05	1.29E-05	6.24E-06	1.30E-05	2.02E-06
Thermococcaceae	0	0	0	0	0	0
Nitrososphaeraceae	1.72E-06	0	0	2.50E-07	3.03E-07	0
Cenarchaeaceae	0	0	0	0	0	0
Nitrosopumilaceae	0.000627122	0.000368365	0.000583701	0.001870995	0.002526822	0.000884202
Acidobacteriaceae	0	0	0	0	0	0
Bryobacteraceae	0	0	0	0	0	0
Acanthopleuribacteraceae	0	0	3.22E-07	7.49E-07	6.06E-07	3.37E-07
Holophagaceae	0	0	0	0	0	0
Vicinamibacteraceae	4.47E-06	2.27E-06	1.93E-06	0	9.09E-07	0
Acidimicrobiaceae	0	0	0	0	0	0
Iamiaceae	6.09E-05	6.12E-05	4.25E-05	3.57E-05	3.94E-05	1.06E-05
Ilumatobacteraceae	0.001084398	0.00098263	0.00068265	0.00094099	0.000542696	0.000278007
Actinomycetaceae	1.93E-04	1.61E-04	2.41E-04	2.09E-04	1.93E-04	2.25E-04
Bifidobacteriaceae	6.67E-05	0.000133156	8.35E-05	9.99E-05	3.42E-05	4.06E-05
Candidatus_Actinomarinaceae	0	3.24E-07	0	4.99E-07	0	1.68E-07
Candidatus_Nanopelagicaceae	0	0	0.000182104	0	0	0
Catenulisporaceae	0	0	0	2.50E-07	0	0
Corynebacteriaceae	0.000228982	0.000243956	6.38E-05	5.32E-05	2.27E-05	6.01E-05
Dietziaceae	0.000114835	0.000158102	0.000323275	1.67E-05	1.70E-05	5.73E-06
Gordoniaceae	0.00231595	1.85E-05	0	3.12E-05	3.27E-05	1.57E-05
Lawsonellaceae	0	0	0	0	0	0
Mycobacteriaceae	0.00029362	0.000291257	7.38E-05	0.000248917	0.000242107	5.89E-05
Nocardiaceae	5.50E-05	4.67E-05	0.000108618	6.77E-05	7.03E-05	4.09E-05
Tsukamurellaceae	4.81E-06	1.10E-05	0	2.25E-06	1.82E-06	1.01E-06
Frankiaceae	8.25E-06	0	0	0	0	0
Geodermatophilaceae	0.000388826	0.000428535	4.37E-04	3.47E-04	3.44E-04	3.35E-04
Glycomycetaceae	0	0	0	0	0	0
Jiangellaceae	0	0	4.19E-06	0	0	0
Kineosporiaceae	3.44E-06	0	9.99E-06	2.25E-06	0	0
Beutenbergiaceae	0	5.57E-05	0	9.99E-06	6.97E-06	6.06E-06
Bogoriellaceae	0	0	0	0	0	0
Brevibacteriaceae	0.000358945	9.75E-05	0.000143105	7.09E-05	4.85E-06	8.76E-06
Cellulomonadaceae	0	2.11E-05	1.26E-05	6.24E-06	4.55E-06	3.20E-06
Dermabacteraceae	0	1.62E-06	0	1.25E-06	3.03E-07	0
Dermacoccaceae	2.51E-05	0	4.19E-06	2.15E-05	6.36E-06	1.68E-06
Dermatophilaceae	4.81E-06	2.53E-05	1.48E-05	3.00E-05	1.21E-05	5.89E-06
Intrasporangiaceae	0.000178664	0.000148887	0.000223331	1.94E-04	1.79E-04	2.08E-04
Jonesiaceae	0	0	0	0	0	0
Kytococcaceae	0	0	0	0	0	0
Microbacteriaceae	0.000193569	0.000387803	0.000249145	0.000280874	0.000128477	8.69E-05
Micrococcaceae	0.000510224	0.001510068	0.000926959	0.000632903	0.000348464	0.000226649
Ornithinimicrobiaceae	1.72E-05	2.98E-05	1.48E-05	5.24E-06	5.45E-06	1.01E-06
Promicromonosporaceae	0.00042672	4.70E-04	4.80E-04	0.000380492	0.000377	0.000367936
Ruaniaceae	1.38E-06	0	0	0	0	0
Micromonosporaceae	5.19E-05	5.44E-05	4.00E-05	2.27E-05	1.18E-05	4.04E-06
Nakamurellaceae	6.53E-06	7.45E-06	0	2.05E-05	1.91E-05	1.03E-05
Nocardioidaceae	0.003239098	0.005147709	0.00324887	0.001044352	0.000704807	0.000299729
Propionibacteriaceae	0.001546832	0.001997981	0.001181583	0.001055337	0.000744805	0.000430903
Pseudonocardiaceae	2.41E-06	2.01E-05	3.80E-05	3.50E-06	2.12E-06	5.05E-07
Sporichthyaceae	0	0	0	0	0	0
Streptomycetaceae	0.000103489	0.000144171	8.19E-05	5.54E-05	3.73E-05	1.99E-05
Nocardiopsaceae	0	2.40E-05	8.38E-06	2.00E-06	3.03E-06	1.18E-06
Streptosporangiaceae	4.81E-06	0	3.22E-06	3.25E-06	9.09E-07	6.74E-07
Thermomonosporaceae	2.41E-06	0	0	7.49E-07	9.09E-07	3.37E-07
Atopobiaceae	0	1.62E-06	0	8.24E-06	0	5.05E-07
Coriobacteriaceae	0.000185317	3.63E-05	0.000153097	9.49E-06	1.97E-05	9.09E-06
Eggerthellaceae	2.27E-05	5.83E-06	1.26E-05	2.50E-07	3.03E-06	5.05E-07
Egibacteraceae	0	0	0	0	0	0
Egicoccaceae	6.53E-06	0	1.29E-06	4.99E-07	0	0
Euzebyaceae	0.000125493	0.00013348	9.02E-05	0.000106607	0.000109691	3.74E-05
Baekduiaceae	0	0	0	0	0	0
Rubrobacteraceae	1.38E-06	3.24E-06	0	2.50E-07	0	0
Miltoncostaeaceae	6.53E-06	2.27E-06	7.41E-06	6.49E-06	2.12E-06	4.38E-06
Conexibacteraceae	0	4.54E-06	0	0	2.73E-06	0
Hydrogenothermaceae	0	0	0	0	0	0
Bacteroidaceae	0.000170533	0.000121492	0.000214657	7.74E-05	0.000279075	5.56E-05
Barnesiellaceae	0	0	0	0	0	0
Dysgonomonadaceae	2.41E-06	5.51E-06	9.67E-07	2.00E-06	1.00E-05	8.42E-07
Muribaculaceae	0	3.24E-07	0	2.50E-07	0	0
Odoribacteraceae	1.03E-06	0	0	0	6.06E-07	0
Paludibacteraceae	0	0	0	2.50E-07	3.03E-07	0
Porphyromonadaceae	0	0	0	0	3.03E-07	0
Prevotellaceae	5.47E-05	2.95E-05	8.22E-05	8.74E-06	3.64E-06	3.37E-06
Rikenellaceae	1.62E-05	1.17E-05	2.58E-06	0	0	0
Salinivirgaceae	6.88E-07	3.24E-07	0	2.50E-07	6.06E-07	3.37E-07
Tannerellaceae	7.56E-06	1.59E-05	1.32E-05	1.27E-05	1.12E-05	1.15E-05
Tenuifilaceae	0	0	0	0	0	5.05E-07
Marinifilaceae	0.000213854	0.000165229	0.000214657	0.000916773	0.002613181	0.000685336
Marinilabiliaceae	6.88E-07	3.24E-07	1.29E-06	2.50E-07	3.33E-06	2.02E-06
Prolixibacteraceae	0.000119992	0.000111125	0.000145361	0.00010436	0.000295134	9.72E-05
Chitinophagaceae	0	6.16E-06	4.51E-06	0	0	0
Amoebophilaceae	1.03E-06	0	0	0	0	0
Bernardetiaceae	3.09E-05	2.53E-05	3.13E-05	7.49E-06	1.76E-05	2.19E-05
Cyclobacteriaceae	0.006113406	0.006673328	0.010052482	0.001636309	0.00179535	0.000835706
Cytophagaceae	1.13E-05	7.78E-06	1.10E-05	2.25E-06	9.09E-07	1.52E-06
Flammeovirgaceae	1.03E-06	1.62E-06	6.77E-06	2.00E-06	3.33E-06	2.02E-06
Fulvivirgaceae	3.09E-06	4.86E-06	2.26E-06	8.99E-06	7.58E-06	8.42E-07
Hymenobacteraceae	3.44E-07	0	6.45E-07	0	0	3.37E-07
Mangrovivirgaceae	1.38E-06	9.72E-07	9.67E-07	4.99E-07	9.09E-07	0
Marivirgaceae	3.78E-06	7.45E-06	9.35E-06	2.50E-06	3.33E-06	1.85E-06
Persicobacteraceae	3.09E-06	1.30E-06	2.58E-06	2.00E-06	8.18E-06	2.19E-06
Spirosomaceae	0.000747925	2.07E-03	0.002303804	4.66E-05	1.03E-04	2.81E-05
Blattabacteriaceae	0	0	3.22E-07	4.99E-07	0	0
Crocinitomicaceae	2.85E-05	2.88E-05	3.61E-05	1.50E-06	6.06E-07	6.74E-07
Cryomorphaceae	0.000133745	7.42E-05	5.12E-05	0.000729523	0.001265987	0.000284406
Flavobacteriaceae	0.57702802	0.52683813	0.59408235	0.071438112	0.144660327	0.132387592
Ichthyobacteriaceae	0	0	0	0	0	0
Schleiferiaceae	4.47E-06	4.54E-06	5.80E-06	9.96E-05	0.00011666	4.41E-05
Weeksellaceae	3.23E-05	2.72E-05	3.35E-05	0.000109603	0.00028362	5.61E-05
