name	A11	A12	A13	A21	A22	A23
Candidatus_Thalassarchaeaceae	0	0	2.73E-07	0	0	0
Methanomassiliicoccaceae	0	0	0	0	0	0
Sulfolobaceae	0	0	0	0	0	0
Thermoproteaceae	0	0	0	0	0	0
Archaeoglobaceae	0	0	0	0	0	0
Haloarculaceae	0	6.66E-07	0	0	0	7.17E-06
Halobacteriaceae	0	4.00E-06	0	2.75E-06	2.11E-06	4.48E-07
Halococcaceae	0	3.33E-07	5.46E-07	3.43E-07	1.69E-06	4.48E-07
Haloferacaceae	0	0	8.18E-07	0	2.11E-06	0
Halorubraceae	8.78E-07	0	0	0	0	2.69E-06
Natrialbaceae	0	0	1.09E-06	6.86E-07	0	3.58E-06
Methanobacteriaceae	0	4.00E-06	2.18E-06	2.68E-05	5.19E-05	6.54E-05
Methanocellaceae	0	0	0	0	0	0
Methanomicrobiaceae	1.23E-05	3.33E-06	5.78E-05	3.16E-05	6.46E-05	0.000103048
Methanoregulaceae	0	0	2.73E-07	1.37E-06	0	4.48E-07
Methanospirillaceae	2.93E-07	1.33E-06	8.18E-07	0	0	0
Candidatus_Methanoperedenaceae	0	1.00E-06	0	0	4.22E-07	0
Methanosarcinaceae	1.23E-05	1.30E-05	6.55E-06	0.000179151	0.000146544	0.000147404
Methermicoccaceae	0	0	0	0	0	0
Methanotrichaceae	5.56E-06	1.03E-05	1.04E-05	2.20E-05	4.22E-06	3.41E-05
Thermococcaceae	0	0	0	0	0	4.48E-07
Nitrososphaeraceae	0	0	1.36E-06	0	0	0
Cenarchaeaceae	0	0	0	0	0	0
Nitrosopumilaceae	0.000496307	0.000572772	0.000526136	0.004014079	0.008977617	0.001257191
Acidobacteriaceae	0	0	0	0	0	0
Bryobacteraceae	0	0	0	0	0	0
Acanthopleuribacteraceae	2.93E-07	0	0	1.72E-06	8.45E-07	2.69E-06
Holophagaceae	0	0	0	0	0	0
Vicinamibacteraceae	2.64E-06	2.67E-06	2.45E-06	0	0	0
Acidimicrobiaceae	0	3.33E-07	0	0	0	0
Iamiaceae	4.04E-05	3.90E-05	5.56E-05	0.000247791	0.000673596	0.000583344
Ilumatobacteraceae	0.000656473	0.000543784	0.000798068	0.000824712	0.002204495	0.001841431
Actinomycetaceae	1.38E-05	5.66E-05	8.05E-05	6.38E-05	0.00020778	0.000144268
Bifidobacteriaceae	2.55E-05	0.00012595	8.35E-05	0.00011257	0.000313782	0.002570835
Candidatus_Actinomarinaceae	2.93E-07	0	0	3.43E-07	0	0
Candidatus_Nanopelagicaceae	0	0	0	0	0	0
Catenulisporaceae	0	0	0	0	0	0
Corynebacteriaceae	2.69E-05	1.57E-05	1.64E-06	0.000150665	0.000112336	0.000948494
Dietziaceae	7.41E-05	2.33E-05	0.000102009	6.52E-06	3.34E-05	1.79E-05
Gordoniaceae	0.000173927	6.06E-05	2.65E-05	4.67E-05	8.28E-05	0.000222674
Lawsonellaceae	0	0	0	0	0	0
Mycobacteriaceae	0.000843869	0.000903641	0.0009639	0.000261519	0.001118718	0.001349039
Nocardiaceae	6.41E-05	0.000113288	0.000246839	3.91E-05	8.40E-05	0.000176974
Tsukamurellaceae	0	0	0	0	2.53E-06	1.08E-05
Frankiaceae	0	1.33E-06	0	0	1.27E-06	1.34E-06
Geodermatophilaceae	4.07E-03	3.45E-03	3.45E-03	5.98E-03	4.78E-03	4.71E-03
Glycomycetaceae	0	0	0	0	0	0
Jiangellaceae	0	0	0	0	0	1.34E-06
Kineosporiaceae	0	0	7.09E-06	0	0	0
Beutenbergiaceae	0.001205497	1.69E-03	1.29E-03	1.53E-03	1.85E-03	1.77E-03
Bogoriellaceae	0	0	4.09E-06	6.86E-07	0	0
Brevibacteriaceae	0.000101311	0.000144609	4.34E-05	4.22E-05	8.36E-05	0.000155917
Cellulomonadaceae	0	8.00E-06	3.27E-06	1.44E-05	8.02E-06	2.37E-05
Dermabacteraceae	4.71E-05	0	5.46E-06	0	0	0.000194896
Dermacoccaceae	1.46E-06	2.27E-05	8.18E-06	7.55E-06	7.18E-06	1.57E-05
Dermatophilaceae	0	1.13E-05	1.39E-05	2.61E-05	5.95E-05	7.80E-05
Intrasporangiaceae	9.02E-05	0.000905973	5.13E-05	1.48E-05	6.46E-05	6.18E-05
Jonesiaceae	0	0	0	0	0	0
Kytococcaceae	0	0	0	5.15E-06	0	0
Microbacteriaceae	0.000365423	0.000262562	0.000243021	0.000253626	0.000437098	0.000758078
Micrococcaceae	0.000486937	0.000741705	0.001261744	0.000419048	0.000706114	0.000865159
Ornithinimicrobiaceae	3.51E-05	8.33E-06	4.94E-05	4.12E-06	2.58E-05	1.16E-05
Promicromonosporaceae	2.77E-03	2.14E-03	2.25E-03	0.001189441	0.001675759	1.82E-03
Ruaniaceae	1.46E-06	0	0	0	0	8.96E-07
Micromonosporaceae	4.27E-05	0.000658738	4.04E-05	1.96E-05	4.43E-05	0.000131275
Nakamurellaceae	1.23E-05	1.77E-05	5.73E-05	5.18E-05	7.18E-05	0.000133515
Nocardioidaceae	0.002529849	0.003208724	0.004322005	0.001243417	0.003047862	0.004807882
Propionibacteriaceae	0.001068451	0.000953288	0.001512947	0.001364911	0.003236216	0.004751429
Pseudonocardiaceae	2.64E-06	1.50E-05	3.25E-05	1.37E-06	5.49E-06	1.03E-05
Sporichthyaceae	0	0	0	0	0	0
Streptomycetaceae	9.31E-05	8.26E-05	9.30E-05	7.04E-05	8.57E-05	0.00012545
Nocardiopsaceae	7.61E-06	0	9.00E-06	2.40E-06	1.94E-05	2.42E-05
Streptosporangiaceae	1.76E-06	4.00E-06	7.36E-06	0	4.22E-06	1.48E-05
Thermomonosporaceae	2.93E-06	0	0	3.78E-06	1.69E-06	6.27E-06
Atopobiaceae	2.93E-07	6.66E-07	0	0	1.14E-05	1.52E-05
Coriobacteriaceae	6.59E-05	0.000703054	8.32E-05	3.33E-05	0.000106424	0.00295749
Eggerthellaceae	1.11E-05	1.63E-05	1.28E-05	8.24E-06	6.33E-06	6.77E-05
Egibacteraceae	0	1.33E-06	0	0	0	0
Egicoccaceae	0	0	0	3.43E-06	0	7.62E-06
Euzebyaceae	2.07E-03	1.75E-03	1.75E-03	3.04E-03	2.43E-03	2.40E-03
Baekduiaceae	0	0	0	0	0	4.48E-06
Rubrobacteraceae	0	3.33E-07	2.45E-06	0	4.22E-07	2.24E-06
Miltoncostaeaceae	9.37E-06	2.33E-06	2.45E-06	8.58E-06	2.07E-05	2.46E-05
