name	CK11	CK12	CK13	CK21	CK22	CK23
Candidatus_Thalassarchaeaceae	4.91E-07	5.09E-07	5.05E-07	0	3.42E-06	2.21E-06
Methanomassiliicoccaceae	0	0	0	0	0	3.68E-06
Sulfolobaceae	0	0	0	0	0	7.35E-07
Thermoproteaceae	0	0	0	0	0	0
Archaeoglobaceae	0	0	0	0	0	0
Haloarculaceae	0	0	0	1.38E-06	6.84E-07	7.35E-07
Halobacteriaceae	9.82E-07	0	2.02E-06	2.76E-06	1.37E-06	4.41E-06
Halococcaceae	0	0	5.05E-07	6.89E-07	0	7.35E-07
Haloferacaceae	0	0	0	6.89E-07	2.05E-06	7.35E-07
Halorubraceae	2.45E-06	5.09E-06	2.53E-06	4.14E-06	2.73E-06	2.21E-06
Natrialbaceae	9.82E-07	5.09E-06	2.53E-06	1.38E-06	2.05E-06	4.41E-06
Methanobacteriaceae	3.78E-05	1.32E-05	7.22E-05	2.07E-05	2.39E-05	2.87E-05
Methanocellaceae	4.91E-07	0	0	0	0	0
Methanomicrobiaceae	4.42E-06	1.58E-05	1.01E-05	1.17E-05	1.85E-05	3.23E-05
Methanoregulaceae	0	0	0	0	6.84E-07	0
Methanospirillaceae	0	6.11E-06	1.21E-05	6.89E-07	0	7.35E-07
Candidatus_Methanoperedenaceae	0	0	5.05E-07	0	6.84E-07	0
Methanosarcinaceae	3.24E-05	6.98E-05	3.69E-05	4.89E-05	3.01E-05	4.85E-05
Methermicoccaceae	0	0	0	0	0	7.35E-07
Methanotrichaceae	4.07E-05	1.02E-05	0.000110097	2.07E-05	1.50E-05	1.10E-05
Thermococcaceae	0	0	5.05E-07	6.89E-07	1.37E-06	7.35E-07
Nitrososphaeraceae	0	5.09E-07	0	2.07E-06	0	2.21E-06
Cenarchaeaceae	0	0	0	0	0	7.35E-07
Nitrosopumilaceae	0.001624975	0.001821069	0.001401458	0.092079376	0.051865562	0.092579401
Acidobacteriaceae	0	0	0	4.14E-06	0	0
Bryobacteraceae	0	0	0	0	6.84E-07	0
Acanthopleuribacteraceae	4.91E-07	0	0	1.38E-06	1.37E-06	7.35E-07
Holophagaceae	0	0	0	0.000191642	0	0
Vicinamibacteraceae	2.45E-06	8.15E-06	5.56E-06	0	1.37E-06	0
Acidimicrobiaceae	0	0	0	0	0	0
Iamiaceae	0.000191462	0.000191531	0.000214133	0.000256442	0.000302888	0.000430058
Ilumatobacteraceae	0.000648026	0.000881244	0.001428729	0.000350196	0.001087797	0.000841738
Actinomycetaceae	5.65E-05	2.85E-05	2.47E-05	6.55E-05	7.11E-05	7.20E-05
Bifidobacteriaceae	0.000193917	0.000710599	0.000118177	0.001766833	0.000249557	0.000973328
Candidatus_Actinomarinaceae	0	0	0	0	6.84E-07	0
Candidatus_Nanopelagicaceae	0	0.000249601	0	0	2.05E-06	0
Catenulisporaceae	0	0	0	4.83E-06	3.42E-06	8.09E-06
Corynebacteriaceae	7.31E-05	6.37E-05	0.000270696	0.000448774	0.00037878	0.000443291
Dietziaceae	0.000262647	0.000107991	7.98E-05	0.00023783	0.000536036	0.000241127
Gordoniaceae	7.85E-06	7.23E-05	5.71E-05	0.000164068	0.000168195	0.000105125
Lawsonellaceae	0	0	0	0	0	0
Mycobacteriaceae	0.002496874	0.00250083	0.002513763	0.002055074	0.002845908	0.002139745
Nocardiaceae	0.000268047	9.73E-05	0.000151509	0.000486689	0.000798584	0.00051901
Tsukamurellaceae	1.57E-05	5.60E-06	2.73E-05	1.59E-05	0	1.76E-05
Frankiaceae	3.93E-06	0	2.53E-06	0	0	0
Geodermatophilaceae	7.71E-05	0.000492071	0.000207062	1.65E-05	2.67E-05	2.72E-05
Glycomycetaceae	0	0	0	0	0	0
Jiangellaceae	0	0	0	0	0	0
Kineosporiaceae	1.03E-05	0.000301559	8.59E-06	0	5.47E-06	0
Beutenbergiaceae	0	0	5.10E-05	2.69E-05	3.90E-05	0
Bogoriellaceae	0	0	0	0	0	0
Brevibacteriaceae	4.86E-05	0.0002007	0.000111612	1.79E-05	3.15E-05	5.95E-05
Cellulomonadaceae	4.11E-04	0.000271931	0.000416656	1.26E-05	1.42214E-05	1.37E-05
Dermabacteraceae	6.19E-05	2.04E-06	0	4.76E-05	0	0
Dermacoccaceae	2.41E-05	3.26E-05	8.08E-06	0	5.47E-06	0
Dermatophilaceae	0	3.77E-05	1.01E-05	1.79E-05	2.87E-05	2.21E-05
Intrasporangiaceae	1.37E-05	0.001328489	0.000135348	4.69E-05	1.91E-05	3.75E-05
Jonesiaceae	4.42E-06	0	0	0	0	0
Kytococcaceae	2.60E-05	0	0	0	1.30E-05	2.13E-05
Microbacteriaceae	0.000217482	0.000169117	0.000194436	0.000306766	0.000261864	0.00018158
Micrococcaceae	0.0002111	0.000470676	0.000489374	0.000360536	0.000434845	0.000507248
Ornithinimicrobiaceae	0	2.04E-05	5.56E-06	1.59E-05	0	1.03E-05
Promicromonosporaceae	0	1.63E-05	2.32E-05	2.76E-06	8.20E-06	0
Ruaniaceae	0	0	0	0	1.37E-06	0
Micromonosporaceae	5.55E-05	4.43E-05	0.000103026	7.79E-05	4.85E-05	2.79E-05
Nakamurellaceae	2.11E-05	1.43E-05	2.63E-05	2.07E-05	4.03E-05	1.84E-05
Nocardioidaceae	0.001758999	0.003567766	0.00481849	0.001251191	0.001671009	0.001634221
Propionibacteriaceae	0.001083971	0.001455327	0.001320653	0.001688935	0.002227557	0.002203221
Pseudonocardiaceae	2.45E-06	1.02E-05	2.37E-05	1.31E-05	5.20E-05	1.91E-05
Sporichthyaceae	0	0	0	0	0	0
Streptomycetaceae	0.000188517	0.000185927	0.000200497	0.000276434	0.00013606	8.82E-05
Nocardiopsaceae	4.42E-06	0	8.64E-05	6.89E-06	2.73E-06	1.25E-05
Streptosporangiaceae	0	2.55E-06	5.56E-06	2.76E-06	1.23E-05	0
Thermomonosporaceae	0	4.08E-06	0	1.38E-05	1.37E-06	2.21E-06
Atopobiaceae	3.44E-06	1.02E-06	1.01E-06	5.65E-05	5.33E-05	0.00043888
Coriobacteriaceae	3.09E-05	0.000279655	9.85E-05	0.000392936	0.000237934	0.000397712
Eggerthellaceae	2.45E-06	2.04E-06	2.02E-06	8.69E-05	8.27E-05	7.65E-05
Egibacteraceae	0	0	0	2.07E-06	0	0
Egicoccaceae	0	5.60E-06	2.53E-06	0	5.47E-06	0
Euzebyaceae	7.17E-05	0.000134479	0.000179286	0.000299183	0.000366473	0.000194813
Baekduiaceae	0	0	0	3.45E-06	0	0
Rubrobacteraceae	1.47E-06	3.06E-05	0	6.89E-07	6.84E-07	0
Miltoncostaeaceae	1.42E-05	1.48E-05	4.90E-05	4.07E-05	1.78E-05	3.82E-05
Conexibacteraceae	0	0	0	0.000720383	8.89E-06	0
Hydrogenothermaceae	0	0	0	0	0	0
Bacteroidaceae	0.001732662	0.001735407	0.001744382	0.000943423	0.000420449	0.000209937
Barnesiellaceae	0	2.04E-06	0	0	2.67E-05	1.62E-05
Dysgonomonadaceae	1.61E-03	1.61E-03	1.62E-03	8.76E-04	3.90E-04	1.95E-04
Muribaculaceae	0	2.04E-05	0	3.45E-06	6.84E-07	0
Odoribacteraceae	0	6.62E-06	4.04E-06	4.83E-06	4.10E-06	5.15E-06
Paludibacteraceae	0	0	0	6.89E-07	6.15E-06	1.47E-06
Porphyromonadaceae	0	0	0	0	0	0
Prevotellaceae	9.97E-05	0.000218019	8.38E-05	0.000123396	7.18E-05	6.84E-05
Rikenellaceae	1.33E-05	2.19E-05	1.01E-05	6.62E-05	4.10E-05	0.000102185
Salinivirgaceae	1.96E-06	1.02E-06	1.52E-06	6.89E-07	2.73E-06	1.47E-06
Tannerellaceae	4.76E-05	0.000102897	2.68E-05	0.000108919	0.000103925	9.85E-05
Tenuifilaceae	0	0	0	0	0	0
Marinifilaceae	8.89E-05	3.77E-05	3.43E-05	0.000450842	0.00032545	0.000336695
Marinilabiliaceae	1.47E-06	2.04E-06	5.05E-07	6.89E-07	6.84E-07	0
Prolixibacteraceae	0.000184098	0.000172683	0.000206557	0.000175098	0.00020033	0.000172023
Chitinophagaceae	1.47E-06	6.62E-06	1.52E-06	4.76E-05	3.69E-05	7.35E-07
Amoebophilaceae	0	0	0	0	8.20E-06	0
Bernardetiaceae	2.80E-05	2.24E-05	2.98E-05	1.17E-05	1.91E-05	1.76E-05
Cyclobacteriaceae	0.002141924	0.001765545	0.001230253	0.002549258	0.003103401	0.003207426
Cytophagaceae	4.30E-03	4.50E-03	4.40E-03	0.00440185	4.25E-03	0.004410781
Flammeovirgaceae	1.47E-06	3.57E-06	2.02E-06	2.76E-06	5.47E-06	8.82E-06
Fulvivirgaceae	8.84E-06	5.60E-06	1.06E-05	4.14E-06	4.10E-06	5.88E-06
Hymenobacteraceae	0	1.32E-05	6.57E-06	5.51E-06	0	0
Mangrovivirgaceae	0	1.53E-06	1.52E-06	0	0	7.35E-07
Marivirgaceae	1.33E-05	1.12E-05	1.21E-05	6.89E-06	4.10E-06	3.68E-06
Persicobacteraceae	6.87E-06	8.15E-06	5.56E-06	2.07E-06	5.47E-06	2.94E-06
Spirosomaceae	0.000289648	0.000127347	0.00117672	2.62E-05	3.28E-05	1.84E-05
Blattabacteriaceae	0	0	0	2.07E-06	0	0
Crocinitomicaceae	1.03E-05	9.68E-06	8.59E-06	2.00E-05	2.12E-05	1.10E-05
Cryomorphaceae	0.00038587	0.000213434	0.000234839	0.001028527	0.000366473	0.001733465
Flavobacteriaceae	0.026333766	0.026375486	0.026511889	0.021674233	0.030014916	0.022567229
Ichthyobacteriaceae	0	0	0	0	0	0
Schleiferiaceae	8.84E-06	8.15E-06	4.55E-06	0.00020474	0.000239985	0.000408004
Weeksellaceae	9.23E-05	8.05E-05	7.88E-05	0.000527361	0.000646798	0.000591054
Haliscomenobacteraceae	0	0	0	6.89E-07	6.84E-07	3.68E-06
Saprospiraceae	9.82E-07	5.60E-06	0	5.51E-06	0.000133325	5.15E-06
Sphingobacteriaceae	4.91E-06	0	7.07E-06	1.17E-05	5.47E-06	2.21E-06
Rhodothermaceae	0	5.09E-07	0	0	0	0
Balneolaceae	0.000260683	0.000102897	0.000118682	0.011389628	0.010501925	0.006997819
Calditrichaceae	4.91E-07	1.02E-06	5.05E-07	6.89E-07	0	0
Chlamydiaceae	0	5.09E-07	0	6.20E-06	2.05E-06	1.47E-06
Criblamydiaceae	0	0	0	0	0	0
Parachlamydiaceae	4.91E-07	0	0	1.38E-06	0	0
Rhabdochlamydiaceae	0	0	0	0	0	0
Simkaniaceae	3.93E-06	0	0	1.03E-05	1.78E-05	1.32E-05
Waddliaceae	0	0	0	1.79E-05	0	0
Chlorobiaceae	8.84E-06	5.60E-06	9.09E-06	4.14E-06	1.44E-05	1.76E-05
Anaerolineaceae	6.38E-06	6.62E-06	5.05E-06	4.83E-06	4.79E-06	1.62E-05
Ardenticatenaceae	0	5.09E-07	2.02E-06	6.89E-07	6.84E-07	1.47E-06
Caldilineaceae	4.91E-07	0	5.05E-07	2.07E-06	6.84E-07	2.35E-05
Phototrophicaceae	1.37E-05	3.57E-06	1.11E-05	1.17E-05	1.57E-05	1.84E-05
Dehalococcoidaceae	0	1.02E-06	1.01E-06	0	0	7.35E-07
Thermogemmatisporaceae	0	0	0	0	0	0
Tepidiformaceae	0	0	0	0	0	7.35E-07
Sphaerobacteraceae	0	0	0	0	0	0
Chrysiogenaceae	1.96E-06	0	1.01E-06	6.89E-07	1.37E-06	3.68E-06
Gloeobacteraceae	0	0	0	0	0	0
Aphanothecaceae	4.91E-07	0	0	6.89E-07	6.84E-07	1.47E-06
Chroococcaceae	0	0	5.05E-07	1.45E-05	1.30E-05	1.62E-05
Geminocystaceae	0	0	0	0	0	0
Microcystaceae	0	0	0	0	0	0
Coleofasciculaceae	0	0	0	1.38E-06	0	0
Cyanothecaceae	0	0	5.15E-05	0	0	0
Microcoleaceae	0	0	0	0	0	2.21E-06
Oscillatoriaceae	0	1.53E-06	1.01E-06	6.89E-06	1.37E-06	4.41E-06
Chroococcidiopsidaceae	0	5.09E-07	0	0	0	7.35E-07
Aphanizomenonaceae	0	0	0	1.38E-06	0	2.94E-06
Calotrichaceae	1.47E-06	1.53E-06	3.03E-06	8.96E-06	5.47E-06	3.68E-06
Hapalosiphonaceae	0	0	0	0	0	0
Nostocaceae	9.82E-07	2.04E-06	1.52E-06	4.83E-06	1.03E-05	1.62E-05
Rivulariaceae	0	0	0	0	0	0
Dermocarpellaceae	0	0	0	0	0	2.94E-06
Hyellaceae	0	0	0	0	0	0
Leptolyngbyaceae	0	5.09E-07	0	3.45E-06	1.37E-06	0
Pseudanabaenaceae	4.91E-07	5.09E-07	0	0	1.37E-06	0
Acaryochloridaceae	0	0	0	0	0	0
Chamaesiphonaceae	1.47E-06	1.02E-06	0	5.51E-06	6.84E-07	3.68E-06
Merismopediaceae	0	0	6.92E-05	0	0	0
Prochlorococcaceae	0	0	0	0	0	0
Synechococcaceae	0	5.09E-07	1.01E-06	2.76E-06	2.73E-06	3.68E-06
Calditerrivibrionaceae	0	0	0	0	0	0
Geovibrionaceae	0	0	0	0	0	7.35E-07
Deinococcaceae	4.91E-07	0	1.01E-06	8.27E-06	2.73E-06	7.35E-06
Thermaceae	0	0	0	0	0	2.94E-06
Trueperaceae	0	0	5.05E-07	1.38E-06	1.37E-06	7.35E-07
Alicyclobacillaceae	4.91E-07	0	0	4.14E-06	0	0
Bacillaceae	0.000295048	0.000182871	0.000166155	0.000264025	0.000239985	0.000293322
Listeriaceae	0	0	0	1.38E-05	1.37E-05	8.82E-06
Paenibacillaceae	2.95E-06	7.64E-06	2.98E-05	5.51E-06	4.79E-06	2.72E-05
Planococcaceae	7.22E-05	8.51E-05	0.000119692	4.21E-05	5.33E-05	3.68E-05
Sporolactobacillaceae	0	0	0	0	0	0
Staphylococcaceae	1.18E-05	2.09E-05	1.41E-05	0.000362604	0.000293999	0.000604287
Thermoactinomycetaceae	9.82E-07	5.09E-07	2.53E-06	0	2.05E-06	0
Aerococcaceae	0	0	0	1.93E-05	8.89E-06	5.15E-06
Carnobacteriaceae	2.45E-06	3.06E-06	0	1.59E-05	1.71E-05	1.18E-05
Enterococcaceae	3.93E-06	0.000120216	0	0.000217149	4.38E-05	0.000164672
Lactobacillaceae	1.62E-05	0.002738989	3.64E-05	0.000155106	0.000140846	0.000419031
Streptococcaceae	9.23E-05	0.000113594	6.21E-05	0.000352953	0.0001176	0.000109536
Christensenellaceae	9.82E-07	0	0	6.89E-07	0	7.35E-07
Clostridiaceae	8.98E-05	0.00038408	0.000374227	0.000309523	0.000164093	0.000399917
Desulfallaceae	0	0	0	0	6.84E-07	0
Desulfitobacteriaceae	0	5.09E-07	2.02E-06	1.38E-06	3.42E-06	0
Desulfotomaculaceae	0	0	0	0	0	0
Eubacteriaceae	0	5.60E-06	0	2.69E-05	2.73E-06	1.03E-05
Eubacteriales_Family_XIII._Incertae_Sedis	0	0	0	0	6.15E-06	0
Heliobacteriaceae	0	0	0	0	0	0
Lachnospiraceae	0.000161516	0.000415662	0.000193426	0.000860323	0.000825249	0.000615314
Oscillospiraceae	9.92E-05	0.000366761	7.37E-05	0.000179234	0.000138111	0.000265386
Peptococcaceae	0	5.09E-07	0	0	0	2.21E-06
Peptostreptococcaceae	1.47E-05	3.51E-05	5.96E-05	2.90E-05	6.63E-05	6.62E-05
Proteinivoraceae	0	0	0	0	0	0
Symbiobacteriaceae	0	0	0	0	0	0
