	DA	TOC	TN	Ferrous	pH	Nitrification	Denitrification	DNRA	Nitrogen fixation	Ammonification	hzs
Traet1_1	0.43	1.29	0.29	0.0192	8.15	2.70375	24.9831	18.31122222	1.047625	26.271	12
Traet1_2	0.42	1.29	0.289	0.0193	8.15	7.4695	24.3371	18.46155556	1.016	28.954	10
Traet1_3	0.42	1.27	0.289	0.0192	8.13	8.32825	24.2758	16.88788889	1.027875	29.543	15
DA1_1	0.49	1.18	0.215	0.0172	8.22	7.363	18.2202	16.76133333	0.5485	25.207	7
DA1_2	0.48	1.18	0.214	0.0171	8.21	3.96525	16.0048	16.67222222	0.491875	26.035	7
DA1_3	0.49	1.18	0.225	0.0172	8.12	7.8355	17.8683	12.64788889	0.51675	26.713	8
Traet2_1	0.12	1.25	0.3	0.0172	8.26	0.1685	79.0466	17.13366667	2.384875	23.425	13
Traet2_2	0.11	1.25	0.3	0.0173	8.25	0.37225	80.4556	13.37933333	2.26275	23.21	12
Traet2_3	0.1	1.25	0.3	0.0174	8.24	0.1015	88.5243	11.41511111	2.467375	22.652	14
DA2_1	0.23	1.15	0.217	0.0169	8.23	0.7765	51.2638	9.668333333	1.111625	21.727	9
DA2_2	0.22	1.15	0.236	0.0168	8.22	0.4495	53.3923	9.665	0.596375	28.924	11
DA2_3	0.22	1.16	0.256	0.0169	8.22	0.54975	54.4126	11.06177778	0.403125	23.506	9
